id,api_id,name,url,description,example,api_responses_id
78,6,Agências de Instituições Supervisionadas pelo Bacen,https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1/odata/Agencias,Apresentam as informações mais atuais das agências de instituições supervisionadas pelo Bacen.,https://olinda.bcb.gov.br/olinda/servico/Informes_Agencias/versao/v1/odata/Agencias,74
79,6,Chancelas de cédulas nacionais produzidas,https://olinda.bcb.gov.br/olinda/servico/mecir_chancelas/versao/v1/swagger-ui3#/,Traz informações sobre cédulas nacionais produzidas,https://olinda.bcb.gov.br/olinda/servico/mecir_chancelas/versao/v1/odata/TodosDadosChancelas,75
80,6,Correspondentes no país,https://olinda.bcb.gov.br/olinda/servico/Informes_Correspondentes/versao/v1/swagger-ui3#/,Retorna Informes sobre Correspondentes,https://olinda.bcb.gov.br/olinda/servico/Informes_Correspondentes/versao/v1/odata/Correspondentes?%24top=1,76
81,6,Dados cadastrais de entidades supervisionadas - Situação por Pessoa Juridica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoSituacaoPessoaJuridica,Dados cadastrais de entidades supervicionadas pelo bacen por pessoa juridica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoSituacaoPessoaJuridica,77
82,6,Dados cadastrais de entidades supervisionadas- Enitidade Supervisionada,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoEntidadeSupervisionada,Dados cadastrais de entidades supervicionadas pelo bacen por entidade supervisionada,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoEntidadeSupervisionada,78
83,6,Dados cadastrais de entidades supervisionadas - Natureza juridica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/NaturezaJuridica,Dados cadastrais de entidades supervicionadas pelo bacen por natureza juridica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/NaturezaJuridica,79
84,6,Dados cadastrais de entidades supervisionadas - Esfera Publica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/EsferaPublica,Dados cadastrais de entidades supervicionadas pelo bacen por por esfera publica,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/EsferaPublica,80
85,6,Dados cadastrais de entidades supervisionadas - ClasseCooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/ClasseCooperativa,Dados cadastrais de entidades supervicionadas pelo bacen por classe cooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/ClasseCooperativa,81
86,6,Dados cadastrais de entidades supervisionadas - TipoCooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoCooperativa,Dados cadastrais de entidades supervicionadas pelo bacen por tipo coperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/TipoCooperativa,82
87,6,Dados cadastrais de entidades supervisionadas - CategoriaCooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/CategoriaCooperativa,Dados cadastrais de entidades supervicionadas pelo bacen por categoria cooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/CategoriaCooperativa,83
88,6,Dados cadastrais de entidades supervisionadas - Cooperativas(@dataBase),https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/Cooperativas(dataBase=@dataBase),Dados cadastrais de entidades supervicionadas pelo bacen por cooperativa,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/Cooperativas(dataBase=@dataBase)?@dataBase=12-31-2017&$top=2&$format=json,84
89,6,Dados cadastrais de entidades supervisionadas - EntidadesSupervisionadas(@dataBase),https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/EntidadesSupervisionadas(dataBase=@dataBase),Dados cadastrais de entidades supervicionadas pelo bacen por entidade supervisionada filtando pela Data Base,https://olinda.bcb.gov.br/olinda/servico/BcBase/versao/v2/odata/EntidadesSupervisionadas(dataBase=@dataBase)?@dataBase=12-31-2017&$top=2&$format=json,85
90,6,Dados cadastrais de instrumentos contratuais - CadastroContraparte,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/CadastroContraparte,Retorna Dados cadastrais de instrumentos contratuais - CadastroContraparte,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/CadastroContraparte,86
91,6,Dados cadastrais de instrumentos contratuais - CadastroPenalidade,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/CadastroPenalidade,Retorna Dados cadastrais de instrumentos contratuais - CadastroPenalidade,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/CadastroPenalidade,87
92,6,Dados cadastrais de instrumentos contratuais - AtaRegistroPreco,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/AtaRegistroPreco,Retorna Dados cadastrais de instrumentos contratuais - AtaRegistroPreco,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/AtaRegistroPreco,88
93,6,Dados cadastrais de instrumentos contratuais - InstrumentoContratual,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/InstrumentoContratual,Retorna Dados cadastrais de instrumentos contratuais - InstrumentoContratual,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/InstrumentoContratual,89
94,6,Dados cadastrais de instrumentos contratuais - InstrumentoAlteracao,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/InstrumentoAlteracao,Retorna Dados cadastrais de instrumentos contratuais - InstrumentoAlteracao,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/InstrumentoAlteracao,90
95,6,Dados cadastrais de instrumentos contratuais - Ocorrencia,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Ocorrencia,Retorna Dados cadastrais de instrumentos contratuais - Ocorrencia,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Ocorrencia,91
96,6,Dados cadastrais de instrumentos contratuais - Conformidade,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Conformidade,Retorna Dados cadastrais de instrumentos contratuais - Conformidade,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Conformidade,92
97,6,Dados cadastrais de instrumentos contratuais - Recisão,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Rescisao,Retorna Dados cadastrais de instrumentos contratuais - Recisão,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Rescisao,93
98,6,Dados cadastrais de instrumentos contratuais - Anulacao,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Anulacao,Retorna Dados cadastrais de instrumentos contratuais - Anulacao,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Anulacao,94
99,6,Dados cadastrais de instrumentos contratuais - GarantiaFinanceira,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/GarantiaFinanceira,Retorna Dados cadastrais de instrumentos contratuais - GarantiaFinanceira,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/GarantiaFinanceira,95
309,13,Prepostos  - Consultas Básicas,http://compras.dados.gov.br/comprasContratos/id/contrato/{id}/prepostos.{formato},Retorna uma relação de prepostos cadastrados.,http://compras.dados.gov.br/comprasContratos/id/contrato/119441/prepostos.json,309
100,6,Dados cadastrais de instrumentos contratuais - GarantiaTecnica,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/GarantiaTecnica,Retorna Dados cadastrais de instrumentos contratuais - GarantiaTecnica,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/GarantiaTecnica,96
101,6,Dados cadastrais de instrumentos contratuais - MaoObraTerceirizada,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/MaoObraTerceirizada,Retorna Dados cadastrais de instrumentos contratuais - MaoObraTerceirizada,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/MaoObraTerceirizada,97
102,6,Dados cadastrais de instrumentos contratuais - Recebimento,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Recebimento,Retorna Dados cadastrais de instrumentos contratuais - Recebimento,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/Recebimento,98
103,6,Dados cadastrais de instrumentos contratuais - DocumentoCobranca,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/DocumentoCobranca,Retorna Dados cadastrais de instrumentos contratuais - DocumentoCobranca,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/DocumentoCobranca,99
104,6,Dados cadastrais de instrumentos contratuais - RelatorioInstrumentoContratual,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/RelatorioInstrumentoContratual,Retorna Dados cadastrais de instrumentos contratuais - RelatorioInstrumentoContratual,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/RelatorioInstrumentoContratual,100
105,6,Dados cadastrais de instrumentos contratuais - RecebimentoPagamento,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/RecebimentoPagamento,Retorna Dados cadastrais de instrumentos contratuais - RecebimentoPagamento,https://olinda.bcb.gov.br/olinda/servico/SAIC/versao/v1/odata/RecebimentoPagamento,101
106,6,Dinheiro em Circulação - Informacoes_diarias,https://olinda.bcb.gov.br/olinda/servico/mecir_dinheiro_em_circulacao/versao/v1/odata/informacoes_diarias,Traz informações sobre Dinheiro em Circulação - Informacoes_diarias,https://olinda.bcb.gov.br/olinda/servico/mecir_dinheiro_em_circulacao/versao/v1/odata/informacoes_diarias,102
107,6,Dinheiro em Circulação - informacoes_diarias_com_categoria,https://olinda.bcb.gov.br/olinda/servico/mecir_dinheiro_em_circulacao/versao/v1/odata/informacoes_diarias_com_categoria,Traz informações sobre Dinheiro em Circulação - informacoes_diarias_com_categoria,https://olinda.bcb.gov.br/olinda/servico/mecir_dinheiro_em_circulacao/versao/v1/odata/informacoes_diarias_com_categoria,103
108,6,Dólar comercial (venda e compra) - cotações diárias - Moedas,https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/Moedas,Retorna informações sobre Dólar comercial (venda e compra) - cotações diárias - Moedas,https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/Moedas,104
109,6,Dólar comercial (venda e compra) - cotações diárias - CotacaoDolarDia(@dataCotacao),https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoDolarDia(dataCotacao=@dataCotacao),Retorna informações sobre Dólar comercial (venda e compra) - cotações diárias - CotacaoDolarDia(@dataCotacao),https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoDolarDia(dataCotacao=@dataCotacao)?@dataCotacao=%2710-06-2023%27&$top=100&$format=json,105
110,6,"Dólar comercial (venda e compra) - cotações diárias - CotacaoDolarPeriodo(@dataInicial,@dataFinalCot","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoDolarPeriodo(dataInicial=@dataInicial,dataFinalCotacao=@dataFinalCotacao)","Retorna informações sobre Dólar comercial (venda e compra) - cotações diárias - CotacaoDolarPeriodo(@dataInicial,@dataFinalCotacao)","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoDolarPeriodo(dataInicial=@dataInicial,dataFinalCotacao=@dataFinalCotacao)?@dataInicial=09-01-2023&@dataFinalCotacao=09-30-2023&$top=100&$format=json",106
111,6,"Dólar comercial (venda e compra) - cotações diárias - CotacaoMoedaDia(@moeda,@dataCotacao)","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoMoedaDia(moeda=@moeda,dataCotacao=@dataCotacao)","Retorna informações sobre Dólar comercial (venda e compra) - cotações diárias - CotacaoMoedaDia(@moeda,@dataCotacao)","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoMoedaDia(moeda=@moeda,dataCotacao=@dataCotacao)?@moeda=EUR&@dataCotacao=10-06-2023&$top=100&$format=json",107
112,6,"Dólar comercial (venda e compra) - cotações diárias - CotacaoMoedaPeriodo(@moeda,@dataInicial,@dataF","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoMoedaPeriodo(moeda=@moeda,dataInicial=@dataInicial,dataFinalCotacao=@dataFinalCotacao)","Retorna informações sobre Dólar comercial (venda e compra) - cotações diárias - CotacaoMoedaPeriodo(@moeda,@dataInicial,@dataFinalCotacao)","https://olinda.bcb.gov.br/olinda/servico/PTAX/versao/v1/odata/CotacaoMoedaPeriodo(moeda=@moeda,dataInicial=@dataInicial,dataFinalCotacao=@dataFinalCotacao)?@moeda=EUR&@dataInicial=10-01-2023&@dataFinalCotacao=10-15-2023&$top=100&$format=json",108
